Hydrolab MS5 46005,,,,,,,,,,,,,,,
Log File Name : Russian_071816_081316,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 071816,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 094845,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 071816,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 081316,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,LDO,,SpCond,,pH,,TurbSC,,IBatt,,LDO%
MMDDYY,HHMMSS,,øC,,mg/l,,æS/cm,,Units,,NTU,,Volts,,Sat
,,,,,,,,,,,,,,,
7/19/2016,14:00:00,,27.97,,0,,430,,6.87,,3.2,,12.9,,0
7/19/2016,14:15:00,,29.03,,0,,435,,6.86,,3.3,,12.9,,0
7/19/2016,14:30:00,,13.57,,12.03,,61.6,,7.21,,0,,12.8,,117
7/19/2016,14:45:00,,13.55,,11.8,,62.4,,7.35,,0,,12.7,,114.7
7/19/2016,15:00:00,,13.57,,11.9,,62.6,,7.39,,0,,12.5,,115.7
7/19/2016,15:15:00,,13.51,,12.46,,63.4,,7.42,,0,,12.5,,121
7/19/2016,15:30:00,,13.4,,11.93,,62.7,,7.45,,0,,12.5,,115.6
7/19/2016,15:45:00,,13.46,,11.15,,61.5,,7.47,,0.6,,12.4,,108.2
7/19/2016,16:00:00,,13.43,,12.08,,61.8,,7.48,,0.4,,12.4,,117.1
7/19/2016,16:15:00,,13.52,,11.98,,60.7,,7.48,,0.7,,12.3,,116.4
7/19/2016,16:30:00,,13.51,,999999,#,60.6,,7.48,,0.5,,12.4,,742
7/19/2016,16:45:00,,13.56,,11.88,,60.8,,7.49,,1.7,,12.3,,115.5
7/19/2016,17:00:00,,13.47,,0,,61,,7.5,,0.1,,12.3,,0
7/19/2016,17:15:00,,13.35,,0,,60.6,,7.51,,0,,12.3,,0
7/19/2016,17:30:00,,13.38,,11.97,,60.3,,7.51,,0.5,,12.3,,115.9
7/19/2016,17:45:00,,13.17,,12.07,,60.4,,7.53,,0.5,,12.3,,116.4
7/19/2016,18:00:00,,13,,12.09,,60,,7.53,,1.6,,12.3,,116
7/19/2016,18:15:00,,13.07,,12.13,,60.8,,7.53,,0.7,,12.3,,116.6
7/19/2016,18:30:00,,13.04,,12.07,,59.8,,7.53,,3.1,,12.3,,116
7/19/2016,18:45:00,,13.08,,12.07,,60.2,,7.53,,11.2,,12.3,,116.1
7/19/2016,19:00:00,,12.95,,12.08,,60.4,,7.53,,0.7,,12.2,,115.9
7/19/2016,19:15:00,,12.85,,12.05,,60.3,,7.53,,1,,12.2,,115.3
7/19/2016,19:30:00,,12.65,,12.04,,60.4,,7.52,,1.2,,12.2,,114.7
7/19/2016,19:45:00,,12.62,,12.1,,60.7,,7.53,,1.2,,12.2,,115.2
7/19/2016,20:00:00,,12.62,,12,,60.7,,7.51,,1,,12.2,,114.2
7/19/2016,20:15:00,,12.75,,11.96,,60,,7.51,,0.6,,12.1,,114.2
7/19/2016,20:30:00,,12.57,,12.06,,61.1,,7.51,,0.8,,12.1,,114.7
7/19/2016,20:45:00,,12.64,,11.99,,60.3,,7.51,,1.5,,12.1,,114.2
7/19/2016,21:00:00,,12.57,,11.96,,60.4,,7.48,,0,,12.1,,113.7
7/19/2016,21:15:00,,12.72,,11.88,,60.3,,7.48,,0,,12.1,,113.4
7/19/2016,21:30:00,,12.78,,11.84,,59.6,,7.47,,0,,12.1,,113.2
7/19/2016,21:45:00,,12.58,,11.81,,60.1,,7.46,,0,,12.1,,112.4
7/19/2016,22:00:00,,12.49,,11.78,,60.3,,7.44,,1.5,,12.1,,111.9
7/19/2016,22:15:00,,12.62,,11.74,,60.4,,7.42,,1.1,,12.1,,111.8
7/19/2016,22:30:00,,12.7,,11.67,,60.3,,7.42,,1,,12.1,,111.3
7/19/2016,22:45:00,,12.87,,11.61,,60.5,,7.41,,1.1,,12.1,,111.2
7/19/2016,23:00:00,,12.63,,11.65,,60.2,,7.41,,1.3,,12.1,,111
7/19/2016,23:15:00,,12.68,,11.65,,60.3,,7.4,,1,,12.1,,111.1
7/19/2016,23:30:00,,12.66,,11.59,,59.7,,7.39,,1.2,,12.1,,110.5
7/19/2016,23:45:00,,12.62,,11.62,,59.9,,7.39,,1.1,,12,,110.6
7/20/2016,0:00:00,,12.69,,11.57,,60.2,,7.37,,1.3,,12.1,,110.3
7/20/2016,0:15:00,,12.53,,11.65,,60.6,,7.38,,1.6,,12,,110.7
7/20/2016,0:30:00,,12.55,,11.58,,59.9,,7.37,,1.2,,12,,110.1
7/20/2016,0:45:00,,12.56,,11.57,,60.8,,7.37,,1.2,,12,,110.1
7/20/2016,1:00:00,,12.47,,11.62,,59.8,,7.38,,1.4,,12,,110.3
7/20/2016,1:15:00,,12.49,,11.65,,60.6,,7.39,,1.1,,11.9,,110.6
7/20/2016,1:30:00,,12.39,,11.72,,59.8,,7.4,,1,,11.9,,111.1
7/20/2016,1:45:00,,12.5,,11.68,,60.3,,7.4,,1.1,,11.9,,110.9
7/20/2016,2:00:00,,12.46,,11.71,,60.4,,7.4,,1.4,,11.9,,111.1
7/20/2016,2:15:00,,12.4,,11.67,,60.2,,7.39,,1.3,,11.9,,110.5
7/20/2016,2:30:00,,12.39,,11.66,,60,,7.38,,1.4,,11.9,,110.4
7/20/2016,2:45:00,,12.39,,11.69,,60.6,,7.39,,1,,11.9,,110.8
7/20/2016,3:00:00,,12.38,,11.65,,60.2,,7.37,,1.1,,11.8,,110.4
7/20/2016,3:15:00,,12.36,,11.66,,60,,7.37,,0.9,,11.9,,110.4
7/20/2016,3:30:00,,12.22,,11.66,,60.8,,7.36,,1.3,,11.9,,110
7/20/2016,3:45:00,,12.32,,11.61,,60,,7.35,,1.4,,11.8,,109.7
7/20/2016,4:00:00,,12.38,,11.63,,61.1,,7.35,,1.4,,11.8,,110.2
7/20/2016,4:15:00,,12.17,,11.66,,60.3,,7.35,,1.2,,11.8,,109.9
7/20/2016,4:30:00,,12.23,,11.56,,60.6,,7.34,,1.2,,11.8,,109.1
7/20/2016,4:45:00,,12.29,,11.55,,60.7,,7.34,,1.2,,11.8,,109.1
7/20/2016,5:00:00,,12.39,,11.54,,60.4,,7.34,,1.3,,11.8,,109.3
7/20/2016,5:15:00,,12.21,,11.59,,61,,7.34,,1.6,,11.8,,109.3
7/20/2016,5:30:00,,12.32,,11.54,,60.4,,7.33,,1.3,,11.8,,109.1
7/20/2016,5:45:00,,12.11,,11.7,,60.6,,7.33,,1.5,,11.8,,110.1
7/20/2016,6:00:00,,12.21,,11.58,,59.8,,7.33,,1.3,,11.8,,109.3
7/20/2016,6:15:00,,12.24,,11.57,,60.2,,7.33,,0.6,,11.8,,109.2
7/20/2016,6:30:00,,12.21,,11.6,,60.7,,7.34,,1.4,,11.8,,109.4
7/20/2016,6:45:00,,12.15,,11.58,,61.2,,7.34,,1.2,,11.8,,109.1
7/20/2016,7:00:00,,12.22,,11.59,,60.7,,7.34,,1.3,,11.8,,109.4
7/20/2016,7:15:00,,12.25,,11.55,,60.1,,7.34,,1.2,,11.8,,109
7/20/2016,7:30:00,,12.25,,11.57,,60.4,,7.35,,1.2,,11.8,,109.3
7/20/2016,7:45:00,,12.16,,11.59,,59.6,,7.35,,1.1,,11.8,,109.2
7/20/2016,8:00:00,,11.99,,11.68,,60.7,,7.35,,1.1,,11.8,,109.6
7/20/2016,8:15:00,,12.19,,11.63,,60.2,,7.36,,1.3,,11.8,,109.7
7/20/2016,8:30:00,,12.02,,11.73,,60.3,,7.36,,1.4,,11.8,,110.1
7/20/2016,8:45:00,,12.23,,11.65,,60.4,,7.37,,1.3,,11.8,,110
7/20/2016,9:00:00,,11.99,,11.73,,60.3,,7.38,,1.4,,11.8,,110.1
7/20/2016,9:15:00,,12.24,,11.71,,61,,7.38,,1.5,,11.8,,110.5
7/20/2016,9:30:00,,12.17,,11.71,,60.4,,7.39,,0.8,,11.8,,110.4
7/20/2016,9:45:00,,12.06,,11.77,,60.7,,7.4,,1.3,,11.8,,110.7
7/20/2016,10:00:00,,11.98,,11.89,,60.3,,7.42,,1.1,,11.8,,111.6
7/20/2016,10:15:00,,12.18,,11.84,,61,,7.41,,1.3,,11.8,,111.6
7/20/2016,10:30:00,,12.37,,11.73,,60.8,,7.41,,1.3,,11.8,,111.1
7/20/2016,10:45:00,,12.49,,11.75,,59.9,,7.42,,0.2,,11.8,,111.6
7/20/2016,11:00:00,,12.43,,11.8,,60.1,,7.42,,1.3,,11.8,,111.9
7/20/2016,11:15:00,,12.71,,11.8,,60.3,,7.43,,1.2,,11.8,,112.6
7/20/2016,11:30:00,,12.94,,11.62,,60.2,,7.43,,1,,11.8,,111.4
7/20/2016,11:45:00,,13.1,,11.58,,61,,7.43,,0.7,,11.8,,111.4
7/20/2016,12:00:00,,13.14,,11.69,,60.9,,7.44,,0.9,,11.8,,112.6
7/20/2016,12:15:00,,13.32,,11.52,,59.9,,7.43,,0.7,,11.8,,111.4
7/20/2016,12:30:00,,13.3,,11.57,,60.6,,7.45,,1.1,,11.8,,111.9
7/20/2016,12:45:00,,13.25,,11.65,,60.2,,7.45,,1.8,,11.8,,112.5
7/20/2016,13:00:00,,13.58,,11.61,,60.4,,7.45,,1.1,,11.8,,113
7/20/2016,13:15:00,,13.55,,11.57,,60.7,,7.46,,0.7,,11.8,,112.5
7/20/2016,13:30:00,,13.55,,11.45,,61.3,,7.46,,1.3,,11.8,,111.3
7/20/2016,13:45:00,,13.69,,11.5,,60.6,,7.47,,0.8,,11.8,,112.2
7/20/2016,14:00:00,,13.73,,11.62,,60.8,,7.47,,0.9,,11.8,,113.4
7/20/2016,14:15:00,,13.88,,11.57,,60.9,,7.47,,0.9,,11.8,,113.3
7/20/2016,14:30:00,,14.01,,11.49,,60.2,,7.48,,1,,11.8,,112.9
7/20/2016,14:45:00,,13.97,,11.47,,60.9,,7.48,,0.9,,11.8,,112.5
7/20/2016,15:00:00,,14.18,,12.76,,61.4,,7.47,,0.8,,11.8,,125.7
7/20/2016,15:15:00,,14.17,,11.19,,60.4,,7.48,,0.7,,11.8,,110.2
7/20/2016,15:30:00,,14.15,,0,,60.6,,7.49,,0.9,,11.8,,0
7/20/2016,15:45:00,,14.32,,11.02,,61.1,,7.49,,0.3,,11.8,,108.9
7/20/2016,16:00:00,,14.17,,11.6,,62.3,,7.49,,1,,11.8,,114.4
7/20/2016,16:15:00,,13.89,,11.69,,61.9,,7.49,,0.6,,11.8,,114.5
7/20/2016,16:30:00,,14.19,,4.52,,61.3,,7.49,,0.3,,11.8,,44.6
7/20/2016,16:45:00,,14.22,,11.66,,62.4,,7.5,,0.2,,11.8,,115
7/20/2016,17:00:00,,13.92,,9.85,,61.5,,7.5,,1.8,,11.8,,96.5
7/20/2016,17:15:00,,14.13,,11.79,,62.4,,7.51,,0.5,,11.8,,116.1
