Hydrolab MS5 46008,,,,,,,,,,,,,,,
Log File Name : Beaver_052616_061516,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 052616,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 100516,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 052616,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 101500,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 061516,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,TurbSC,,IBatt,,SpCond,,LDO%,,LDO
MMDDYY,HHMMSS,,øC,,Units,,NTU,,Volts,,æS/cm,,Sat,,mg/l
,,,,,,,,,,,,,,,
5/27/2016,7:45:00,,9.47,,7.64,,6.1,,11.6,,111,,103.1,,9.73
5/27/2016,8:00:00,,9.46,,7.64,,5.8,,11.6,,110.8,,103.8,,9.79
5/27/2016,8:15:00,,9.48,,7.65,,5.9,,11.7,,110.6,,104.2,,9.83
5/27/2016,8:30:00,,9.5,,7.65,,5.8,,11.6,,110.6,,104.4,,9.85
5/27/2016,8:45:00,,9.52,,7.66,,6.1,,11.7,,110.8,,105,,9.89
5/27/2016,9:00:00,,9.56,,7.65,,6.7,,11.7,,110.8,,105.5,,9.93
5/27/2016,9:15:00,,9.62,,7.66,,6.5,,11.6,,110.7,,106.3,,9.99
5/27/2016,9:30:00,,9.69,,7.67,,6.3,,11.6,,111.1,,106.8,,10.03
5/27/2016,9:45:00,,9.76,,7.68,,6.1,,11.6,,111.2,,107.1,,10.04
5/27/2016,10:00:00,,9.85,,7.68,,7,,11.7,,110.8,,107.6,,10.06
5/27/2016,10:15:00,,9.94,,7.69,,6.9,,11.7,,111.1,,108.6,,10.13
5/27/2016,10:30:00,,10.05,,7.7,,6.3,,11.7,,110.8,,109,,10.15
5/27/2016,10:45:00,,10.17,,7.69,,6.4,,11.7,,110.9,,110.5,,10.25
5/27/2016,11:00:00,,10.29,,7.7,,6.5,,11.7,,110.9,,110.4,,10.22
5/27/2016,11:15:00,,10.43,,7.7,,6.5,,11.7,,111,,111.1,,10.24
5/27/2016,11:30:00,,10.57,,7.71,,6.9,,11.7,,111.1,,111.3,,10.24
5/27/2016,11:45:00,,10.71,,7.7,,6.4,,11.7,,111.3,,112.1,,10.28
5/27/2016,12:00:00,,10.85,,7.71,,6.6,,11.7,,111.5,,112.5,,10.27
5/27/2016,12:15:00,,11,,7.72,,6.1,,11.7,,111.2,,113.1,,10.29
5/27/2016,12:30:00,,11.16,,7.72,,7.9,,11.7,,111.1,,113.5,,10.29
5/27/2016,12:45:00,,11.33,,7.71,,6,,11.7,,111.2,,113.9,,10.28
5/27/2016,13:00:00,,11.48,,7.72,,6.3,,11.7,,111.4,,114.4,,10.3
5/27/2016,13:15:00,,11.64,,7.72,,6.8,,11.7,,111.5,,114.7,,10.28
5/27/2016,13:30:00,,11.8,,7.72,,6.4,,11.7,,111.4,,114.9,,10.26
5/27/2016,13:45:00,,11.95,,7.72,,6,,11.8,,111.2,,115.6,,10.29
5/27/2016,14:00:00,,12.14,,7.71,,6.6,,11.8,,111.3,,115.5,,10.24
5/27/2016,14:15:00,,12.3,,7.72,,6,,11.8,,110.8,,115.6,,10.21
5/27/2016,14:30:00,,12.45,,7.72,,5.8,,11.8,,110.8,,116.5,,10.26
5/27/2016,14:45:00,,12.57,,7.72,,6.5,,11.8,,110.8,,116.2,,10.19
5/27/2016,15:00:00,,12.63,,7.73,,6.8,,11.8,,110.6,,115.9,,10.16
5/27/2016,15:15:00,,12.67,,7.71,,6,,11.8,,110.9,,116.1,,10.17
5/27/2016,15:30:00,,12.76,,7.73,,5.8,,11.8,,110.5,,116.1,,10.14
5/27/2016,15:45:00,,12.85,,7.72,,5.4,,11.8,,110.4,,116.1,,10.13
5/27/2016,16:00:00,,12.89,,7.72,,5.6,,11.8,,110.4,,115.8,,10.09
5/27/2016,16:15:00,,12.98,,7.72,,6.1,,11.8,,110.6,,116.3,,10.12
5/27/2016,16:30:00,,13.07,,7.72,,5.1,,11.8,,110.3,,116.1,,10.07
5/27/2016,16:45:00,,13.17,,7.72,,5.7,,11.8,,110.3,,116.1,,10.06
5/27/2016,17:00:00,,13.3,,7.72,,5.2,,11.8,,110.3,,116.1,,10.02
5/27/2016,17:15:00,,13.43,,7.71,,5.3,,11.8,,110.6,,116.1,,9.99
5/27/2016,17:30:00,,13.51,,7.72,,5.7,,11.8,,110.4,,116.1,,9.97
5/27/2016,17:45:00,,13.55,,7.72,,5.9,,11.8,,110.6,,116.1,,9.96
5/27/2016,18:00:00,,13.58,,7.71,,6,,11.8,,110.8,,115.5,,9.91
5/27/2016,18:15:00,,13.64,,7.72,,5.9,,11.8,,110.9,,115.4,,9.89
5/27/2016,18:30:00,,13.7,,7.72,,5.6,,11.8,,110.7,,115.1,,9.84
5/27/2016,18:45:00,,13.76,,7.72,,6,,11.8,,110.8,,114.9,,9.82
5/27/2016,19:00:00,,13.8,,7.71,,5.6,,11.8,,111.4,,114.7,,9.79
5/27/2016,19:15:00,,13.81,,7.72,,5.4,,11.8,,111.2,,115,,9.81
5/27/2016,19:30:00,,13.78,,7.72,,6.3,,11.8,,111.4,,114.3,,9.76
5/27/2016,19:45:00,,13.75,,7.72,,6,,11.8,,112,,113.6,,9.71
5/27/2016,20:00:00,,13.69,,7.71,,5.2,,11.8,,112,,113.8,,9.74
5/27/2016,20:15:00,,13.61,,7.71,,5.7,,11.8,,111.9,,112.7,,9.66
5/27/2016,20:30:00,,13.53,,7.69,,5.9,,11.8,,112.4,,111.8,,9.6
5/27/2016,20:45:00,,13.45,,7.69,,6.1,,11.8,,112.2,,111.5,,9.6
5/27/2016,21:00:00,,13.37,,7.7,,5.5,,11.8,,112.8,,110.9,,9.56
5/27/2016,21:15:00,,13.3,,7.69,,6.6,,11.8,,112.6,,110.1,,9.51
5/27/2016,21:30:00,,13.23,,7.69,,6,,11.8,,112.6,,109.8,,9.5
5/27/2016,21:45:00,,13.15,,7.68,,5.8,,11.8,,112.6,,109.6,,9.49
5/27/2016,22:00:00,,13.07,,7.68,,5.8,,11.8,,112.7,,109,,9.46
5/27/2016,22:15:00,,12.99,,7.67,,6.3,,11.8,,112.9,,108,,9.39
5/27/2016,22:30:00,,12.91,,7.67,,6.2,,11.8,,112.9,,106.9,,9.31
5/27/2016,22:45:00,,12.83,,7.67,,6.9,,11.8,,113.2,,107.1,,9.35
5/27/2016,23:00:00,,12.75,,7.68,,5.7,,11.8,,113,,106.6,,9.31
5/27/2016,23:15:00,,12.68,,7.66,,6.2,,11.8,,113,,105.9,,9.27
5/27/2016,23:30:00,,12.59,,7.66,,6.6,,11.8,,112.9,,105.2,,9.23
5/27/2016,23:45:00,,12.51,,7.66,,6.2,,11.8,,113.4,,104.8,,9.21
5/28/2016,0:00:00,,12.43,,7.66,,6.2,,11.8,,113.3,,104.3,,9.19
5/28/2016,0:15:00,,12.34,,7.64,,6.7,,11.8,,113,,104.3,,9.2
5/28/2016,0:30:00,,12.25,,7.65,,6.3,,11.8,,113,,103.7,,9.17
5/28/2016,0:45:00,,12.16,,7.65,,7.4,,11.8,,112.9,,103.1,,9.14
5/28/2016,1:00:00,,12.07,,7.64,,6.3,,11.8,,113.3,,103.3,,9.17
5/28/2016,1:15:00,,11.97,,7.63,,6.4,,11.8,,113.1,,102.6,,9.13
5/28/2016,1:30:00,,11.88,,7.63,,7,,11.8,,112.8,,102.6,,9.15
5/28/2016,1:45:00,,11.78,,7.63,,6.9,,11.8,,112.7,,102.6,,9.17
5/28/2016,2:00:00,,11.68,,7.63,,6.8,,11.8,,112.7,,102.3,,9.17
5/28/2016,2:15:00,,11.58,,7.64,,7.5,,11.8,,113.1,,102.1,,9.16
5/28/2016,2:30:00,,11.49,,7.63,,6.3,,11.8,,113,,102.2,,9.19
5/28/2016,2:45:00,,11.4,,7.64,,7.3,,11.8,,112.7,,102,,9.19
5/28/2016,3:00:00,,11.31,,7.63,,6.6,,11.8,,113.2,,101.7,,9.19
5/28/2016,3:15:00,,11.22,,7.62,,6.9,,11.8,,112.7,,101.6,,9.2
5/28/2016,3:30:00,,11.13,,7.63,,7.3,,11.8,,113.1,,101.6,,9.21
5/28/2016,3:45:00,,11.04,,7.63,,7.1,,11.8,,113.2,,101.5,,9.23
5/28/2016,4:00:00,,10.96,,7.63,,7.5,,11.8,,112.8,,101.2,,9.22
5/28/2016,4:15:00,,10.87,,7.63,,6.7,,11.8,,113.2,,101.4,,9.25
5/28/2016,4:30:00,,10.79,,7.64,,6.3,,11.8,,112.8,,101.4,,9.27
5/28/2016,4:45:00,,10.71,,7.63,,7.1,,11.8,,113.2,,101.2,,9.27
5/28/2016,5:00:00,,10.62,,7.63,,7.3,,11.8,,112.9,,101,,9.27
5/28/2016,5:15:00,,10.54,,7.63,,7.3,,11.8,,113,,101.5,,9.34
5/28/2016,5:30:00,,10.46,,7.64,,6.6,,11.8,,112.8,,101.3,,9.33
5/28/2016,5:45:00,,10.37,,7.63,,6.7,,11.8,,113.3,,101.1,,9.34
5/28/2016,6:00:00,,10.29,,7.63,,7.3,,11.8,,113,,101.2,,9.36
5/28/2016,6:15:00,,10.22,,7.64,,6.9,,11.8,,113,,100.3,,9.3
5/28/2016,6:30:00,,10.14,,7.63,,7,,11.8,,113.4,,101.6,,9.44
5/28/2016,6:45:00,,10.07,,7.64,,6.5,,11.8,,113.1,,101.7,,9.46
5/28/2016,7:00:00,,10.02,,7.63,,6.7,,11.8,,113.2,,101.9,,9.49
5/28/2016,7:15:00,,9.97,,7.64,,6.2,,11.8,,112.9,,102.1,,9.52
5/28/2016,7:30:00,,9.93,,7.64,,6.1,,11.8,,112.9,,102.5,,9.57
5/28/2016,7:45:00,,9.91,,7.63,,5.9,,11.8,,113.1,,102.8,,9.6
5/28/2016,8:00:00,,9.9,,7.65,,6.6,,11.8,,113.1,,103.3,,9.64
5/28/2016,8:15:00,,9.9,,7.64,,6.9,,11.7,,113.1,,103.8,,9.69
5/28/2016,8:30:00,,9.91,,7.65,,6,,11.8,,113.1,,104.5,,9.75
5/28/2016,8:45:00,,9.94,,7.65,,5.9,,11.8,,113,,104.8,,9.78
5/28/2016,9:00:00,,9.97,,7.67,,6.3,,11.8,,113.1,,105.4,,9.83
5/28/2016,9:15:00,,10.02,,7.66,,6.3,,11.7,,113.1,,106.1,,9.88
5/28/2016,9:30:00,,10.08,,7.66,,10.1,,11.8,,113,,106.3,,9.89
5/28/2016,9:45:00,,10.15,,7.66,,6.7,,11.8,,113,,107.1,,9.94
5/28/2016,10:00:00,,10.22,,7.68,,6.2,,11.8,,113.5,,107.5,,9.96
5/28/2016,10:15:00,,10.31,,7.67,,5.7,,11.8,,113.4,,108.2,,10.01
5/28/2016,10:30:00,,10.41,,7.68,,5.6,,11.8,,113.2,,109.1,,10.07
5/28/2016,10:45:00,,10.51,,7.68,,6.2,,11.8,,113.4,,109.5,,10.08
5/28/2016,11:00:00,,10.63,,7.68,,6,,11.8,,113.4,,110.3,,10.13
5/28/2016,11:15:00,,10.75,,7.69,,5.8,,11.8,,113.8,,110.9,,10.15
5/28/2016,11:30:00,,10.87,,7.7,,5.9,,11.8,,113.4,,111.3,,10.16
5/28/2016,11:45:00,,11,,7.7,,5.7,,11.8,,114,,111.8,,10.17
5/28/2016,12:00:00,,11.13,,7.71,,6.3,,11.8,,113.7,,112.6,,10.22
5/28/2016,12:15:00,,11.26,,7.71,,5.4,,11.8,,114.1,,112.9,,10.21
5/28/2016,12:30:00,,11.4,,7.7,,5.7,,11.8,,113.8,,113.3,,10.21
5/28/2016,12:45:00,,11.55,,7.71,,5.7,,11.8,,114.2,,113.9,,10.23
5/28/2016,13:00:00,,11.7,,7.71,,5.6,,11.8,,114.4,,114.6,,10.26
5/28/2016,13:15:00,,11.85,,7.72,,6.1,,11.8,,114.4,,114.9,,10.26
5/28/2016,13:30:00,,11.99,,7.71,,5.8,,11.8,,114.2,,115,,10.23
5/28/2016,13:45:00,,12.14,,7.72,,5.7,,11.8,,114.6,,115.4,,10.23
5/28/2016,14:00:00,,12.3,,7.72,,5.6,,11.8,,114.7,,115.8,,10.23
5/28/2016,14:15:00,,12.42,,7.73,,5.5,,11.8,,114.8,,116.4,,10.25
5/28/2016,14:30:00,,12.52,,7.73,,6,,11.8,,114.5,,116.5,,10.24
5/28/2016,14:45:00,,12.62,,7.73,,5.4,,11.8,,115,,116.8,,10.24
5/28/2016,15:00:00,,12.78,,7.73,,5.7,,11.8,,114.6,,116.8,,10.2
5/28/2016,15:15:00,,12.94,,7.73,,6,,11.8,,114.7,,116.9,,10.18
5/28/2016,15:30:00,,13.04,,7.73,,5.5,,11.8,,115.1,,117.4,,10.19
5/28/2016,15:45:00,,13.13,,7.74,,6.3,,11.8,,114.9,,117.1,,10.15
5/28/2016,16:00:00,,13.23,,7.74,,5.8,,11.8,,115.1,,117.2,,10.14
5/28/2016,16:15:00,,13.31,,7.74,,5.4,,11.8,,114.9,,117.3,,10.12
5/28/2016,16:30:00,,13.4,,7.74,,5.7,,11.8,,115,,117.2,,10.1
5/28/2016,16:45:00,,13.51,,7.73,,6,,11.8,,115.4,,117.1,,10.06
5/28/2016,17:00:00,,13.62,,7.74,,5.7,,11.8,,115,,117.1,,10.04
5/28/2016,17:15:00,,13.67,,7.74,,5.6,,11.8,,115.3,,117,,10.02
5/28/2016,17:30:00,,13.73,,7.73,,5.6,,11.9,,115.4,,117.3,,10.03
5/28/2016,17:45:00,,13.84,,7.74,,6.8,,11.8,,115,,117.5,,10.02
5/28/2016,18:00:00,,13.91,,7.74,,5.7,,11.8,,114.9,,117.2,,9.98
5/28/2016,18:15:00,,13.87,,7.73,,5.5,,11.9,,115,,116.5,,9.93
5/28/2016,18:30:00,,13.86,,7.74,,5.9,,11.9,,115,,115.8,,9.87
5/28/2016,18:45:00,,13.88,,7.72,,5.6,,11.9,,115.2,,115.4,,9.83
5/28/2016,19:00:00,,13.91,,7.74,,6,,11.9,,114.9,,115.1,,9.8
5/28/2016,19:15:00,,13.92,,7.73,,5.8,,11.9,,115.2,,115,,9.79
5/28/2016,19:30:00,,13.91,,7.73,,6.5,,11.9,,114.8,,114.7,,9.77
5/28/2016,19:45:00,,13.88,,7.73,,6,,11.9,,115,,113.9,,9.71
5/28/2016,20:00:00,,13.83,,7.72,,7.2,,11.9,,114.7,,113.1,,9.65
5/28/2016,20:15:00,,13.77,,7.71,,6,,11.9,,115,,112.4,,9.6
5/28/2016,20:30:00,,13.71,,7.7,,10.6,,11.9,,114.6,,111.9,,9.57
5/28/2016,20:45:00,,13.65,,7.71,,5.6,,11.9,,114.9,,111.4,,9.54
5/28/2016,21:00:00,,13.59,,7.7,,6.6,,11.8,,114.8,,110.7,,9.5
5/28/2016,21:15:00,,13.53,,7.69,,6.8,,11.9,,114.9,,110,,9.45
5/28/2016,21:30:00,,13.46,,7.69,,5.5,,11.9,,114.8,,109.4,,9.42
5/28/2016,21:45:00,,13.4,,7.69,,6.9,,11.9,,114.8,,108.4,,9.34
5/28/2016,22:00:00,,13.32,,7.69,,6.3,,11.9,,114.7,,108.6,,9.37
5/28/2016,22:15:00,,13.23,,7.69,,6.9,,11.9,,114.4,,107.8,,9.32
5/28/2016,22:30:00,,13.14,,7.68,,6.1,,11.9,,114.3,,107,,9.28
5/28/2016,22:45:00,,13.05,,7.67,,6.6,,11.8,,114.3,,106.7,,9.26
5/28/2016,23:00:00,,12.95,,7.67,,5.9,,11.9,,114.6,,106.2,,9.24
5/28/2016,23:15:00,,12.86,,7.67,,5.3,,11.9,,114.7,,105.3,,9.18
5/28/2016,23:30:00,,12.77,,7.65,,5.7,,11.9,,114.6,,105.1,,9.18
5/28/2016,23:45:00,,12.68,,7.66,,6.3,,11.8,,114.5,,104.6,,9.16
5/29/2016,0:00:00,,12.59,,7.65,,6.7,,11.8,,114.3,,104.3,,9.15
5/29/2016,0:15:00,,12.5,,7.65,,5.8,,11.8,,114.7,,103.9,,9.13
5/29/2016,0:30:00,,12.4,,7.64,,6.1,,11.8,,114.6,,103.6,,9.13
