"","(Intercept)","cont_area","elev_mean","prcp","shrub","slope_P","sweM1","tair","wetland","cont_area:elev_mean","model.rmse","df","logLik","AICc","delta","weight"
"220",-0.322161871400507,0.00445758049497351,-0.00210660781310036,NA,0.0285750819110942,-0.495168124709367,NA,0.866655934683827,-0.000846228933990697,NA,1.59751856750883,9,-4975.27860351579,9968.62593555393,183.191849455645,6.95152816502777e-41
"90",-0.581625117816318,0.00456752675000801,NA,NA,0.0296897426896973,-0.659976486000412,NA,0.873956699432972,NA,NA,1.59891344030722,7,-4977.87563515356,9969.79400208889,184.359915990606,3.87648280043112e-41
"252",-0.284447664941184,0.0044426793579236,-0.00209798980271229,NA,0.0285817567238604,-0.481756395196071,-0.000414924438430494,0.86353060832771,-0.000694288451181464,NA,1.59746575255065,10,-4975.16500050791,9970.41403462927,184.979948530987,2.84314825189253e-41
"122",-0.529862931998376,0.00455810352548862,NA,NA,0.0296832122495189,-0.644976602057008,-0.000466827226910758,0.87006500121219,NA,NA,1.59884352060665,8,-4977.7288459662,9971.51265376446,186.078567666174,1.64148678933089e-41
"218",-0.561956137070588,0.00458641350823271,NA,NA,0.029668374542952,-0.662060044414111,NA,0.873131095301185,-0.000403726486521353,NA,1.5989092521266,8,-4977.85745817617,9971.76987818441,186.335792086125,1.44338377392316e-41
"250",-0.519768408702301,0.0045696142690648,NA,NA,0.0296707784303847,-0.646677922120626,-0.000452441380796844,0.86969419891116,-0.000239874687700666,NA,1.59884307797145,9,-4977.72256724045,9973.51386300324,188.079776904957,6.03504242049808e-42
"80",-0.0338979510848274,0.00447566326028047,-0.00524357039158019,-0.118490095600369,0.0185951668328757,NA,NA,0.864938271903799,NA,NA,1.60138742067311,8,-4981.43169429903,9978.91835043011,193.484264331832,4.04679116913084e-43
"112",0.0737532536510816,0.00444824296378602,-0.00500233163922951,-0.112976004287685,0.0193226417962227,NA,-0.0011513322107443,0.855364943047051,NA,NA,1.60088379609141,9,-4980.49261208961,9979.05395270155,193.619866603269,3.78150896643483e-43
"208",-0.017576561935166,0.00448941489666786,-0.00525979504845021,-0.118423044381696,0.0185605153709547,NA,NA,0.864287046525247,-0.000310592322457021,NA,1.6013873194671,9,-4981.42102658086,9980.91078168405,195.47669558577,1.49437586219733e-43
"240",0.0702045977153193,0.00444486453703131,-0.004997631146145,-0.1129734685048,0.0193333503133159,NA,-0.00115519969032668,0.855488770358156,7.42714037238861e-05,NA,1.60088217299212,10,-4980.4920120546,9981.06805772265,195.633971624369,1.38136289501677e-43
"108",-0.108437816334053,0.00446084650928143,-0.00491684618765168,NA,0.0194110307981908,NA,-0.00143833646182254,0.862878773823586,NA,NA,1.60379892016914,8,-4985.28042459318,9986.61581101842,201.181724920143,8.62240592183823e-45
"76",-0.255978544824491,0.00449632253123078,-0.00521639288231595,NA,0.0184953085149597,NA,NA,0.875456141889577,NA,NA,1.60461895245081,7,-4986.75870842339,9987.56014862854,202.126062530262,5.377348183351e-45
"236",-0.112604388372445,0.00445687794007397,-0.00491132097009588,NA,0.0194235951537948,NA,-0.00144287697135885,0.863024116064065,8.72454604553869e-05,NA,1.60379700620831,9,-4985.27959955105,9988.62792762445,203.193841526165,3.15284699310014e-45
"204",-0.234838433564199,0.00451397395322428,-0.00523727183741693,NA,0.0184509243908897,NA,NA,0.874611454298107,-0.000399022218314236,NA,1.60461616921644,8,-4986.74116869909,9989.53729923025,204.103213131968,2.00094596068276e-45
"72",0.268864708460769,0.00456464411299192,-0.0034177124023959,-0.116503707129992,NA,NA,NA,0.862998529815271,NA,NA,1.61215811772669,7,-4998.27962614918,10010.6019840801,225.167897981837,5.33454229991309e-50
"88",0.274081431633231,0.00456117258307558,-0.00293799901131244,-0.115429459307371,NA,-0.0573422883986497,NA,0.862161598364393,NA,NA,1.61209952290692,8,-4998.06096468384,10012.1768911997,226.742805101452,2.42722718405773e-50
"200",0.330601256705338,0.00461716936153373,-0.00349450284280923,-0.116259185417468,NA,NA,NA,0.860461454678435,-0.00120492822122559,NA,1.61207265316457,8,-4998.1198390998,10012.2946400317,226.860553933378,2.28845087154672e-50
"104",0.303378699260357,0.00455767356856502,-0.00332882926216769,-0.114910978238278,NA,NA,-0.000328933142868845,0.86023226560953,NA,NA,1.61213946699362,8,-4998.20188413265,10012.4587300974,227.024643999086,2.10819067683002e-50
"216",0.342559566663899,0.00461866640788376,-0.00298657058992667,-0.115080883925267,NA,-0.0616592778986422,NA,0.859302302200274,-0.00132608749785069,NA,1.61200190080775,9,-4997.86857749953,10013.8058835214,228.371797423122,1.07492766234595e-50
"120",0.292800591254532,0.00455762548344999,-0.00293535337137268,-0.114649518874391,NA,-0.0517622859605043,-0.000182758076202104,0.860704742131317,NA,NA,1.61209492463987,9,-4998.0390273859,10014.1467832941,228.712697195861,9.06470748526083e-51
"232",0.355354986134062,0.00460762560982564,-0.00341440151551396,-0.114936517086389,NA,NA,-0.000276705084665169,0.858310373951004,-0.00112070871183143,NA,1.61206252129368,9,-4998.06558885486,10014.1999062321,228.765820133784,8.82710504280575e-51
"248",0.351258603406464,0.00461498852093641,-0.0029836879471418,-0.114646793919821,NA,-0.0583558775633172,-0.000104074271184157,0.858554560796911,-0.00128789167642899,NA,1.61200187167365,10,-4997.86162085521,10015.8072753239,230.37318922558,3.95168693635958e-51
"68",0.0496388458150387,0.00458439319470563,-0.00340135454914674,NA,NA,NA,NA,0.873329346604604,NA,NA,1.61525386514078,6,-5003.36234362047,10018.7567238542,233.322637755931,9.04311222703673e-52
"84",0.0585908294484451,0.0045799566393093,-0.00281987010840833,NA,NA,-0.0695456107855478,NA,0.872191802013081,NA,NA,1.61514399925511,7,-5003.04104711114,10020.124826004,234.690739905755,4.5628722888982e-52
"100",0.120021585103892,0.00457082131144804,-0.00323538049097034,NA,NA,NA,-0.000616157351496122,0.867878789922092,NA,NA,1.61513759838373,7,-5003.08716007646,10020.2170519347,234.782965836397,4.35724225894043e-52
"86",-0.00980544976502122,0.00478056678073642,NA,-0.110707259475257,NA,-0.27426702041965,NA,0.870573569413678,NA,NA,1.61540150581647,7,-5003.16003648796,10020.3628047577,234.928718659399,4.05099664619279e-52
