"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse.spring","df","logLik","AICc","delta","weight"
"102",-1.59879043248648,0.00417533874423566,NA,-0.140466230793803,NA,NA,0.955122635008094,0.00625226995713719,1.48099288093588,6,-5121.21627922205,10254.4645950574,100.953186679493,5.80650321226073e-23
"38",-1.29293448173916,0.00440564716779843,NA,-0.139692157932738,NA,NA,0.940415272501384,NA,1.48437797301264,5,-5127.2185038164,10264.4598822039,110.948473826005,3.92162122321523e-25
"98",-1.85351790471017,0.00419189980688856,NA,NA,NA,NA,0.967610747564966,0.00621382631466548,1.48476938591144,5,-5127.91164861018,10265.8461717915,112.334763413573,1.96081529162864e-25
"34",-1.54813713243479,0.00442070917208358,NA,NA,NA,NA,0.952924923740157,NA,1.48810465198214,4,-5133.8105989639,10275.6364418302,122.125033452356,1.46725824304871e-27
"127",1.36059437835079,NA,-0.00640364307392854,-0.119480045327595,-0.154111569271422,-0.00627847539528825,0.863001840670422,0.0127098251528819,1.59641569967923,8,-5318.51799762012,10653.0909570723,499.579548694421,1.59698188008229e-109
"119",1.25548451961639,NA,-0.0073258764586283,-0.120852699075833,NA,-0.0067097091216073,0.865415206925803,0.0138457979977733,1.59784219047256,7,-5320.86611394257,10655.7749596669,502.263551289012,4.17326756896394e-110
"123",1.21002628048667,NA,-0.00635026487499692,NA,-0.157210777917277,-0.0065577275794648,0.869626709904379,0.0127144940654598,1.59891186596873,7,-5322.62550921335,10659.2937502085,505.782341830576,7.18423570987424e-111
"115",1.10101286183749,NA,-0.00729063621199044,NA,NA,-0.00700100862337542,0.872166837010096,0.0138736340302346,1.60039430773637,6,-5325.06187477166,10662.1557861566,508.644377778704,1.71750244173308e-111
"63",2.36839525531687,NA,-0.00744674542392317,-0.119679677861105,-0.263777907015961,-0.00587159297604059,0.824420014598878,NA,1.60773801721462,7,-5337.09794060979,10688.2386130014,534.727204623463,3.72463292136997e-117
"59",2.21794632019985,NA,-0.00739366182622013,NA,-0.266922648766933,-0.0061511622020283,0.83104176043309,NA,1.61022491648387,6,-5341.16141779407,10694.3548722014,540.843463823529,1.74966404520647e-118
"55",2.34091322984615,NA,-0.00930286793755279,-0.122221307569611,NA,-0.00659335475834131,0.822528214201246,NA,1.61216534515857,6,-5344.32763118735,10700.687298988,547.175890610088,7.37709985681486e-120
"51",2.1868956284441,NA,-0.00927124750664827,NA,NA,-0.00688772324088653,0.829269259476072,NA,1.61475245178851,5,-5348.54311185054,10707.1090982722,553.597689894295,2.97447049694688e-121
"111",0.238569682556276,NA,-0.00666022852243089,-0.158153250573724,-0.288950755608909,NA,0.941947431919642,0.0113919722479762,1.61449299077829,7,-5348.12064597764,10710.284023737,556.772615359159,6.08111702000476e-122
"107",-0.0306685901069066,NA,-0.00660386777971435,NA,-0.301167543897433,NA,0.955560473452498,0.0113195218023839,1.61887826323409,6,-5355.25183349027,10722.5357035938,569.024295215924,1.32912211063904e-124
"103",-0.124838523659432,NA,-0.00853507795889531,-0.166190203462526,NA,NA,0.957578282450257,0.0134774751617202,1.61976235158202,6,-5356.68716923813,10725.4063750895,571.894966711643,3.16378154072668e-125
"125",0.650852379767489,NA,NA,-0.110023173528141,-0.523016313069092,-0.00660672334293406,0.896238251826635,0.0170319263714764,1.6199627806039,7,-5357.0124609698,10728.0676537214,574.556245343465,8.36213501718689e-126
"121",0.517561701363222,NA,NA,NA,-0.523038581698552,-0.00686152118519639,0.902087503152711,0.0170030309418938,1.62205033757505,6,-5360.39812773645,10732.8282920862,579.316883708285,7.73673442692042e-127
"47",1.2136000863075,NA,-0.00758649396131331,-0.156071812022358,-0.380025709368755,NA,0.902515440303575,NA,1.62355474411307,6,-5362.83532201745,10737.7026806482,584.191272270276,6.76235026457182e-128
