"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse","df","logLik","AICc","delta","weight"
"88",11.7420772023929,0.00263622891356961,-0.00844645721232787,-0.480969558294472,NA,-0.011069135435814,NA,-0.00776081414834961,2.41895766861977,7,-16208.0178666021,32430.0516603943,6681.87160273675,0
"24",11.5296291207415,0.00245182002920228,-0.00774590961702487,-0.477521393563977,NA,-0.0116523435861275,NA,NA,2.42302720462899,6,-16219.8516665833,32451.7152768605,6703.53521920302,0
"94",11.4669659854891,0.0034910227167806,NA,-0.493025507197004,-0.740826782825855,-0.00905305050568036,NA,-0.0102317246262818,2.42716399486327,7,-16231.8606819451,32477.7372910802,6729.55723342268,0
"30",11.1930387728959,0.00319129336598673,NA,-0.487851378395184,-0.627696210860301,-0.0101601289709313,NA,NA,2.43364246655736,6,-16250.6264847368,32513.2649131677,6765.08485551015,0
"80",11.6090995721763,0.00354198830460293,-0.00497224285899331,-0.485924037559445,-0.730981408597829,NA,NA,-0.0189937085720286,2.45529008037734,7,-16312.9714632481,32639.9588536862,6891.77879602865,0
"78",11.2931625525734,0.00405281504676736,NA,-0.493787227332264,-1.01067306797074,NA,NA,-0.0179322756622583,2.46676558998789,6,-16345.7982898615,32703.6085234169,6955.4284657594,0
"31",12.5712064768246,NA,-0.0107255714818953,-0.479640742875146,-0.151790384511906,-0.0129015087962291,NA,NA,2.47159064472344,6,-16359.5552545408,32731.1224527756,6982.94239511811,0
"95",12.6341273149002,NA,-0.0108417731529333,-0.480432560841343,-0.165656963199028,-0.012766356647645,NA,-0.00161919679050395,2.47141574754768,7,-16359.0570653741,32732.1300579381,6983.95000028062,0
"22",10.6360651907356,0.00370877163046363,NA,-0.497746799418192,NA,-0.0127875549731485,NA,NA,2.47260375718105,5,-16362.4403804973,32734.8892909917,6986.70923333422,0
"23",12.5414488678112,NA,-0.0117395185671137,-0.479123382115235,NA,-0.0133386587480347,NA,NA,2.47288289183072,5,-16363.2350881066,32736.4787062103,6988.29864855274,0
"86",10.6224335073778,0.00367790214281684,NA,-0.497200285406042,NA,-0.0128373185930318,NA,0.000803694567616758,2.47255671967186,6,-16362.3064539781,32736.6248516503,6988.44479399272,0
"87",12.5598679865232,NA,-0.0118034105772769,-0.479351181289411,NA,-0.0133095267936511,NA,-0.000495398675380679,2.47286551998964,6,-16363.1856323919,32738.3832084778,6990.20315082024,0
"16",10.972442286685,0.00313275327722013,-0.00438813890605642,-0.476527762054999,-0.601082084248088,NA,NA,NA,2.47935131670239,6,-16381.6258729829,32775.2636896599,7027.08363200235,0
"72",11.2957167936061,0.00330550407757466,-0.0101487014582431,-0.480884434216645,NA,NA,NA,-0.0146249049357658,2.48638941916501,6,-16401.581918677,32815.175781048,7066.99572339047,0
"14",10.723383348023,0.0036068670613186,NA,-0.483979570622663,-0.855997462888168,NA,NA,NA,2.48826561005919,5,-16406.8921902209,32823.792910439,7075.61285278148,0
"8",10.8293155441212,0.00301070712968974,-0.00894129808336515,-0.474060055375627,NA,NA,NA,NA,2.50110516444095,5,-16443.1254815374,32896.2594930719,7148.07943541434,0
"93",12.1592388445907,NA,NA,-0.500016267324195,-0.837959499792659,-0.0131479693827076,NA,0.00496472624845397,2.5369027457263,6,-16543.1726502317,33098.3572441575,7350.17718649997,0
"29",12.3446381929441,NA,NA,-0.503227647995233,-0.905514763433312,-0.0127278000050901,NA,NA,2.53857707169158,5,-16547.8174348224,33105.643399642,7357.46334198446,0
