"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse.fall","df","logLik","AICc","delta","weight"
"100",-0.288838769075651,0.00241105885222958,-0.00580278655666947,NA,NA,NA,0.888706414730087,-0.00460857358363414,1.34201677639581,6,-7556.53735275081,15125.0937790711,172.655517359541,3.16572532250817e-38
"106",-0.41478814016171,0.0029415702017211,NA,NA,-0.51350875621893,NA,0.887092837824275,-0.00557813773237192,1.34383326470412,6,-7562.5038296777,15137.0267329249,184.58847121331,8.11456464436605e-41
"36",-0.429156336602765,0.00231888944481025,-0.00540676240139149,NA,NA,NA,0.888504085264735,NA,1.34477611751856,5,-7565.59756576479,15141.2087524149,188.770490703375,1.00265432272792e-41
"42",-0.585038991428001,0.00279714141962429,NA,NA,-0.463200709410316,NA,0.88725461110425,NA,1.34772928397264,5,-7575.27362616959,15160.5608732245,208.12261151297,6.29349063312476e-46
"118",-1.44633532868588,0.00292608067283857,NA,0.078779879194659,NA,-0.00427860577737561,0.919538333567597,0.00345910664991469,1.36176745989386,7,-7620.98170698952,15255.9888511809,303.550589469387,1.1939041651787e-66
"54",-1.39587345704702,0.00306066646771135,NA,0.0764436588969057,NA,-0.00404380559082828,0.920118750168421,NA,1.36336760646624,6,-7626.16181525578,15264.342704081,311.904442369478,1.83211765073311e-68
"114",-0.949584362958103,0.0029215954226025,NA,NA,NA,-0.00439967909446437,0.892094447382551,0.00294682845051726,1.36973985601972,6,-7646.73037620493,15305.4798259793,353.041564267771,2.13865552408445e-77
"50",-0.919010945377711,0.00303686923320299,NA,NA,NA,-0.00419569721390598,0.893287468388865,NA,1.37089967232487,5,-7650.46377490586,15310.9411706971,358.50290898552,1.39387843958379e-78
"38",-1.79912517165442,0.00329122677417248,NA,0.0826612031973502,NA,NA,0.930752931334688,NA,1.37962549815695,5,-7678.45097333788,15366.9155675611,414.477305849565,9.76200571445153e-91
"102",-1.82813266583225,0.00324363826806268,NA,0.0837202713060535,NA,NA,0.930767478294496,0.00135821576128721,1.37937342438093,6,-7677.64495821404,15367.3089899976,414.870728286003,8.01878299915584e-91
"119",0.181250652616433,NA,-0.0084574491468701,0.0836578565399116,NA,-0.00556473610090723,0.907376926252308,0.00365443068383966,1.38216316769413,7,-7686.55707038804,15387.139577978,434.701316266428,3.96233321072343e-95
"127",0.182198140481373,NA,-0.00844759575408173,0.083645622901658,-0.00174110229214456,-0.0055591096972864,0.907361540413616,0.00364281717364061,1.3821628774229,8,-7686.55614402381,15389.1450004511,436.706738739511,1.45371421637588e-95
"55",0.319256198690481,NA,-0.00892050884912056,0.081534416000741,NA,-0.00536628817515138,0.907274250066019,NA,1.38387848849567,6,-7692.02790703187,15396.0748876332,443.636625921656,4.54645771127669e-97
"63",0.328760687692935,NA,-0.00870900462671037,0.081431969150732,-0.0325167076478569,-0.00527298787392017,0.906992999098686,NA,1.3837713275355,7,-7691.68632697157,15397.398091145,444.959829433485,2.34608187357939e-97
"34",-1.29832579829821,0.00327480841362166,NA,NA,NA,NA,0.902083665446297,NA,1.38835203359885,4,-7706.26397031819,15420.5370191656,468.098757454087,2.21711788741188e-102
"98",-1.3107931135564,0.00324842981847051,NA,NA,NA,NA,0.901888984508532,0.000749553926255095,1.38827531532497,5,-7706.02021826676,15422.0540574189,469.615795707325,1.03840821370255e-102
"115",0.700183125164925,NA,-0.00840405627641879,NA,NA,-0.00570229383631901,0.878346658075738,0.00317457369790979,1.39101402161559,6,-7714.71340267001,15441.4458789095,489.007617197936,6.3898046490018e-107
"123",0.704950460947756,NA,-0.00835020463472797,NA,-0.00952317383800603,-0.00567140950242782,0.878285723073589,0.00311143598242044,1.39100538722,7,-7714.68602232979,15443.3974818615,490.959220149925,2.40825452248282e-107
"51",0.808987829286235,NA,-0.00880883880486905,NA,NA,-0.00552628405644577,0.878899409757716,NA,1.39230471292498,5,-7718.80437486314,15447.6223706116,495.184108900077,2.91259063722385e-108
"59",0.818756710783401,NA,-0.00857655681598131,NA,-0.0357347926819626,-0.00542352916454719,0.878629505214066,NA,1.39217605783011,6,-7718.39676017975,15448.812593929,496.374332217416,1.60629659823533e-108
"47",0.00128085761213529,NA,-0.00837824103148053,0.0886747813510084,-0.173521392282794,NA,0.918477210792552,NA,1.40979030232074,6,-7773.85599556795,15559.7310647054,607.292802993814,1.31882095755731e-132
"111",-0.0165101615206668,NA,-0.00834799716793267,0.0889569851541523,-0.171017882194099,NA,0.918584574239512,0.000394380607356079,1.4097709189667,7,-7773.79534785155,15561.616132905,609.177871193449,5.13864341017037e-133
"39",-0.0871446428896718,NA,-0.0095668774121066,0.0900076224742272,NA,NA,0.921277275993531,NA,1.41303091822478,5,-7783.9837095927,15577.9810400708,625.542778359191,1.43632937307354e-136
"103",-0.141643529638631,NA,-0.00941048418849223,0.0908754140635944,NA,NA,0.921498254793358,0.00130142206625459,1.41281297607472,6,-7783.30331615147,15578.6257058724,626.187444160862,1.04055883681299e-136
"43",0.526010127674502,NA,-0.00822333650926647,NA,-0.18142945197363,NA,0.887870290483418,NA,1.4195932743125,5,-7804.42172220724,15618.8570652998,666.418803588283,1.91045997020238e-145
"107",0.535875648215295,NA,-0.00824214633742717,NA,-0.182946107724631,NA,0.887864196429679,-0.000241346581956134,1.41958602836133,6,-7804.39920732729,15620.8174882241,668.37922651249,7.16865224871081e-146
"35",0.44174347666772,NA,-0.00946455959303645,NA,NA,NA,0.890318634526626,NA,1.42311362538231,4,-7815.34671521908,15638.7025089674,686.264247255873,9.37032392730767e-150
"99",0.414575501311608,NA,-0.00937800670139931,NA,NA,NA,0.89027601073349,0.000715732981394625,1.42304789502475,5,-7815.14297653089,15640.2995739471,687.861312235586,4.21654122259322e-150
"125",-0.309996548135762,NA,NA,0.0754205284559072,-0.531095976912855,-0.00538126218712686,0.913544869664385,0.00894235927517509,1.45585946862877,7,-7915.69370645157,15845.4128501051,892.97458839349,1.21667434427077e-194
"121",0.16700938259693,NA,NA,NA,-0.532611788833558,-0.00548448503582119,0.887234049533164,0.00840753411830698,1.46269809432132,6,-7936.36503637079,15884.7491463111,932.31088459949,3.49466990419468e-203
"61",0.0275931654259021,NA,NA,0.0690760487446161,-0.652311989737492,-0.00463163590505084,0.913089375854495,NA,1.46546902704044,6,-7944.7133220839,15901.4457177373,949.007456025714,8.27545233059213e-207
"57",0.448096176813578,NA,NA,NA,-0.647033894489149,-0.00476792340607545,0.888895084243097,NA,1.47119894748726,5,-7961.92651157901,15933.8666440434,981.428382331815,7.54530925902326e-214
"109",-0.496800811462051,NA,NA,0.0806578174369226,-0.688975275264167,NA,0.924342357767831,0.00573615405803854,1.48046643745114,6,-7989.6254728288,15991.2700192271,1038.83175751552,2.58638100718155e-226
"45",-0.251296736082456,NA,NA,0.0758815516428232,-0.755968743801026,NA,0.923019261211833,NA,1.48456699847762,5,-8001.82606793858,16013.6657567625,1061.22749505095,3.54421359825725e-231
"105",0.0101721722573107,NA,NA,NA,-0.693841551608812,NA,0.896388747948137,0.00509756759001876,1.48816612870883,5,-8012.50699389303,16035.0276086714,1082.58934695986,8.14427976768058e-236
"41",0.202936923040437,NA,NA,NA,-0.753514166007875,NA,0.896685938356668,NA,1.49141008693126,4,-8022.11178621064,16052.2326509505,1099.79438923899,1.49563363212813e-239
"117",-1.02917665538771,NA,NA,0.0766682182316942,NA,-0.00794253469684411,0.924225894616097,0.0173531554213082,1.49506289731161,6,-8032.90214306812,16077.8233597057,1125.38509799416,4.14833119477589e-245
"113",-0.546343351162792,NA,NA,NA,NA,-0.00805490159104447,0.897509539613796,0.0168338606263821,1.50194500262174,5,-8053.16036119453,16116.3343432744,1163.89608156286,1.80019517797091e-253
"53",-0.600590400688645,NA,NA,0.0616946201015255,NA,-0.0075346999215158,0.929124216528562,NA,1.53942368709323,5,-8161.87907504129,16333.7717709679,1381.33350925637,1.09491924883494e-300
"49",-0.220153458271705,NA,NA,NA,NA,-0.00763553134569974,0.907380633864902,NA,1.54378097613248,4,-8174.34663191611,16356.7023423615,1404.26408064993,1.14834340149298e-305
"101",-1.71788497155708,NA,NA,0.0863098837370574,NA,NA,0.94824782462127,0.0161395270114051,1.55517106414377,5,-8206.77172517704,16423.5570712394,1471.11880952787,3.48958565657672e-320
"97",-1.1843509386675,NA,NA,NA,NA,NA,0.918501330950911,0.0155345211423522,1.5635674797204,4,-8230.52278867326,16469.0546558758,1516.61639416423,0
"37",-1.28482692405464,NA,NA,0.0718711859283301,NA,NA,0.951668640523976,NA,1.59229977657142,4,-8310.8440779262,16629.6972343817,1677.25897267012,0
"33",-0.851346836689398,NA,NA,NA,NA,NA,0.926634640571247,NA,1.59802718679792,3,-8326.68172337124,16659.368892624,1706.93063091247,0
"96",11.0530897348761,0.00224887687944478,-0.00554227103936655,-0.385653972118827,-0.35042413545328,-0.00677943315419985,NA,-0.00487788509534949,2.45073377435387,8,-10212.9030418278,20441.838796059,5489.40053434744,0
"32",10.9185169323315,0.00211236631182945,-0.00547139712065053,-0.38302802742075,-0.301299032278415,-0.00728780342316374,NA,NA,2.45221722095109,7,-10215.572243762,20445.1699247259,5492.73166301432,0
"24",10.9165336154678,0.00198460836358215,-0.00764890277232173,-0.383487294892421,NA,-0.0082582360365621,NA,NA,2.4572821561474,6,-10224.6735534317,20461.3661804329,5508.9279187213,0
"88",10.9709988183498,0.00203154006312256,-0.00782169264295151,-0.384583024038523,NA,-0.00811618097107876,NA,-0.00197896552367027,2.45701641408538,7,-10224.1965013275,20462.418439857,5509.9801781454,0
"94",10.6515510552934,0.00291716783406064,NA,-0.392262774960843,-0.679468874393817,-0.0059321772268799,NA,-0.00427414582123792,2.46505418608501,7,-10238.6028951752,20491.2312275524,5538.79296584079,0
"30",10.5379539141807,0.00278986350331028,NA,-0.389884027869974,-0.63266295174777,-0.00638784096144789,NA,NA,2.46618840417694,6,-10240.6320129889,20493.2830995473,5540.84483783573,0
"80",10.8428595175222,0.00276796136392289,-0.00450498156535337,-0.386760236066152,-0.586670497656254,NA,NA,-0.0101797478456839,2.47214887600454,7,-10251.2799912484,20516.5854196988,5564.1471579872,0
"16",10.5012770755211,0.00254623582429935,-0.00416721644272915,-0.380982294947641,-0.515304405537347,NA,NA,NA,2.47911429939905,6,-10263.6907647313,20539.400603032,5586.96234132045,0
"78",10.53052315701,0.00327019165345088,NA,-0.392145726249165,-0.835963429667585,NA,NA,-0.00912576547895136,2.48176255979183,6,-10268.4002054345,20548.8194844385,5596.38122272691,0
"31",11.7765799602886,NA,-0.00978214216301758,-0.384340304656714,-0.177596470271795,-0.00919278423415792,NA,NA,2.48639692266435,6,-10276.6294825469,20565.2780386633,5612.83977695172,0
