"agency_cd","site_no","Date","max_temp","max_temp_flag","min_temp","min_temp_flag","mean_temp","mean_temp_flag"
"USGS",15258000,2011-01-30,1.5,"A",1,"A",1.5,"A"
"USGS",15258000,2011-01-31,1.5,"A",1.5,"A",1.5,"A"
"USGS",15258000,2011-02-01,1.5,"A",1,"A",1.5,"A"
"USGS",15258000,2011-02-02,1.5,"A",1,"A",1.5,"A"
"USGS",15258000,2011-02-03,1.5,"A",1,"A",1.5,"A"
"USGS",15258000,2011-02-04,1.5,"A",1,"A",1,"A"
"USGS",15258000,2011-02-05,1.5,"A",1,"A",1,"A"
"USGS",15258000,2011-02-06,1.5,"A",1,"A",1.5,"A"
"USGS",15258000,2011-02-07,1.5,"A",1,"A",1.5,"A"
"USGS",15258000,2011-02-08,1.5,"A",1.5,"A",1.5,"A"
"USGS",15258000,2011-02-09,2,"A",1.5,"A",1.5,"A"
"USGS",15258000,2011-02-10,1.5,"A",1,"A",1.5,"A"
"USGS",15258000,2011-02-11,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-12,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-13,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-14,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-15,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-16,1.5,"A",1,"A",1,"A"
"USGS",15258000,2011-02-17,1,"A",1,"A",1,"A"
"USGS",15258000,2011-02-18,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-19,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-20,1.5,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-21,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-22,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-23,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-24,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-25,1.5,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-26,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-27,1,"A",0.5,"A",1,"A"
"USGS",15258000,2011-02-28,1.5,"A",0.5,"A",1,"A"
"USGS",15258000,2011-03-01,1.5,"A",1,"A",1,"A"
"USGS",15258000,2011-03-02,1.5,"A",1,"A",1,"A"
"USGS",15258000,2011-03-03,1.5,"A",1,"A",1,"A"
"USGS",15258000,2011-03-04,1.5,"A",1,"A",1,"A"
"USGS",15258000,2011-03-05,2,"A",1,"A",1,"A"
"USGS",15258000,2011-03-06,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-07,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-08,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-09,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-10,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-11,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-12,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-13,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-14,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-15,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-16,2,"A",1.5,"A",1.5,"A"
"USGS",15258000,2011-03-17,1.5,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-18,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-19,2.5,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-20,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-21,2.5,"A",1.5,"A",1.5,"A"
"USGS",15258000,2011-03-22,2,"A",1.5,"A",1.5,"A"
"USGS",15258000,2011-03-23,2,"A",1.5,"A",1.5,"A"
"USGS",15258000,2011-03-24,2,"A",1.5,"A",1.5,"A"
"USGS",15258000,2011-03-25,2,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-26,3,"A",1.5,"A",1.5,"A"
"USGS",15258000,2011-03-27,2.5,"A",1,"A",1.5,"A"
"USGS",15258000,2011-03-28,NA,NA,1,"A",1.5,"A"
"USGS",15258000,2011-03-29,2.5,"A",2,"A",2,"A"
"USGS",15258000,2011-03-30,3,"A",2,"A",2.5,"A"
"USGS",15258000,2011-03-31,3,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-01,3,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-02,3,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-03,3,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-04,3,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-05,3,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-06,3.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-07,3,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-08,3.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-09,3.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-10,3.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-11,3.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-12,3.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-13,3.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-14,3,"A",2,"A",2.5,"A"
"USGS",15258000,2011-04-15,4,"A",2,"A",3,"A"
"USGS",15258000,2011-04-16,4,"A",2.5,"A",3,"A"
"USGS",15258000,2011-04-17,4,"A",2.5,"A",3,"A"
"USGS",15258000,2011-04-18,4,"A",2.5,"A",3,"A"
"USGS",15258000,2011-04-19,4,"A",2.5,"A",3,"A"
"USGS",15258000,2011-04-20,4.5,"A",2.5,"A",3,"A"
"USGS",15258000,2011-04-21,4.5,"A",2.5,"A",3,"A"
"USGS",15258000,2011-04-22,3.5,"A",2.5,"A",3,"A"
"USGS",15258000,2011-04-23,3.5,"A",2.5,"A",3,"A"
"USGS",15258000,2011-04-24,3.5,"A",2.5,"A",3,"A"
"USGS",15258000,2011-04-25,4,"A",2.5,"A",3.5,"A"
"USGS",15258000,2011-04-26,4,"A",3,"A",3.5,"A"
"USGS",15258000,2011-04-27,3.5,"A",3,"A",3.5,"A"
"USGS",15258000,2011-04-28,4,"A",3,"A",3.5,"A"
"USGS",15258000,2011-04-29,3,"A",3,"A",3,"A"
"USGS",15258000,2011-04-30,3.5,"A",3,"A",3,"A"
"USGS",15258000,2011-05-01,3.5,"A",3,"A",3.5,"A"
"USGS",15258000,2011-05-02,4,"A",3,"A",3.5,"A"
"USGS",15258000,2011-05-03,3.5,"A",3.5,"A",3.5,"A"
"USGS",15258000,2011-05-04,3.5,"A",3.5,"A",3.5,"A"
"USGS",15258000,2011-05-05,4,"A",3.5,"A",3.5,"A"
"USGS",15258000,2011-05-06,4,"A",3.5,"A",3.5,"A"
"USGS",15258000,2011-05-07,4,"A",3.5,"A",4,"A"
"USGS",15258000,2011-05-08,4,"A",3,"A",3.5,"A"
"USGS",15258000,2011-05-09,4,"A",3,"A",3.5,"A"
"USGS",15258000,2011-05-10,4.5,"A",4,"A",4,"A"
"USGS",15258000,2011-05-11,4.5,"A",3.5,"A",4,"A"
"USGS",15258000,2011-05-12,4.5,"A",4,"A",4,"A"
"USGS",15258000,2011-05-13,5,"A",4,"A",4.5,"A"
"USGS",15258000,2011-05-14,5,"A",4,"A",4.5,"A"
"USGS",15258000,2011-05-15,5,"A",4.5,"A",4.5,"A"
"USGS",15258000,2011-05-16,5,"A",4.5,"A",4.5,"A"
"USGS",15258000,2011-05-17,4.5,"A",4.5,"A",4.5,"A"
"USGS",15258000,2011-05-18,5,"A",4.5,"A",4.5,"A"
"USGS",15258000,2011-05-19,5,"A",4.5,"A",5,"A"
"USGS",15258000,2011-05-20,5.5,"A",4.5,"A",5,"A"
