sampleDate,sampleTime,Temperatue
10/14/2017,15:00:00,38.7
10/14/2017,15:15:00,38.7
10/14/2017,15:30:00,38.7
10/14/2017,15:45:00,38.748
10/14/2017,16:00:00,38.748
10/14/2017,16:15:00,38.795
10/14/2017,16:30:00,38.795
10/14/2017,16:45:00,38.795
10/14/2017,17:00:00,38.842
10/14/2017,17:15:00,38.842
10/14/2017,17:30:00,38.842
10/14/2017,17:45:00,38.889
10/14/2017,18:00:00,38.889
10/14/2017,18:15:00,38.889
10/14/2017,18:30:00,38.889
10/14/2017,18:45:00,38.889
10/14/2017,19:00:00,38.889
10/14/2017,19:15:00,38.889
10/14/2017,19:30:00,38.889
10/14/2017,19:45:00,38.889
10/14/2017,20:00:00,38.889
10/14/2017,20:15:00,38.889
10/14/2017,20:30:00,38.889
10/14/2017,20:45:00,38.937
10/14/2017,21:00:00,38.889
10/14/2017,21:15:00,38.889
10/14/2017,21:30:00,38.889
10/14/2017,21:45:00,38.889
10/14/2017,22:00:00,38.889
10/14/2017,22:15:00,38.889
10/14/2017,22:30:00,38.889
10/14/2017,22:45:00,38.889
10/14/2017,23:00:00,38.889
10/14/2017,23:15:00,38.889
10/14/2017,23:30:00,38.889
10/14/2017,23:45:00,38.842
10/15/2017,0:00:00,38.842
10/15/2017,0:15:00,38.842
10/15/2017,0:30:00,38.842
10/15/2017,0:45:00,38.842
10/15/2017,1:00:00,38.842
10/15/2017,1:15:00,38.795
10/15/2017,1:30:00,38.795
10/15/2017,1:45:00,38.748
10/15/2017,2:00:00,38.748
10/15/2017,2:15:00,38.7
10/15/2017,2:30:00,38.7
10/15/2017,2:45:00,38.653
10/15/2017,3:00:00,38.606
10/15/2017,3:15:00,38.557
10/15/2017,3:30:00,38.511
10/15/2017,3:45:00,38.511
10/15/2017,4:00:00,38.464
10/15/2017,4:15:00,38.415
10/15/2017,4:30:00,38.415
10/15/2017,4:45:00,38.322
10/15/2017,5:00:00,38.322
10/15/2017,5:15:00,38.273
10/15/2017,5:30:00,38.226
10/15/2017,5:45:00,38.226
10/15/2017,6:00:00,38.179
10/15/2017,6:15:00,38.179
10/15/2017,6:30:00,38.131
10/15/2017,6:45:00,38.131
10/15/2017,7:00:00,38.084
10/15/2017,7:15:00,38.037
10/15/2017,7:30:00,38.037
10/15/2017,7:45:00,37.989
10/15/2017,8:00:00,37.942
10/15/2017,8:15:00,37.893
10/15/2017,8:30:00,37.893
