HYDROLAB MS5 64823,,,,,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_062016_071816,,,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 062016,,,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 094853,,,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 062016,,,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 071816,,,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,IBatt,,SpCond,,LDO,,BP
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,Volts,,æS/cm,,mg/l,,mmHg
,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 182944,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 182944,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 182949,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 182949,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 182953,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 182953,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 182958,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 182958,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 184436,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 184436,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 184441,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 184441,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 184445,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 184445,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 184450,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 184450,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 184455,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 184455,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 184459,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 184459,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 185936,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 185936,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 185941,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 185941,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 185945,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 185945,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 185950,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 185950,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 185955,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 185955,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 190000,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 190000,,,,,,,,,,,,,,,,,,,
6/20/2016,19:00:00,,999999,#,NaN,,NaN,,NaN,,NaN,,0,,NaN,,NaN,,NaN
Power loss from 010170 000000 to 062016 191436,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 191436,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 191441,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 191441,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 191446,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 191446,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 191451,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 191451,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 191456,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 191456,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 192936,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 192936,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 192941,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 192941,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 192946,,,,,,,,,,,,,,,,,,,
