FID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,loc_id,accs_sitei,contact_si,descriptio,latitude,longitude,datum,contact_id,gridcode,rca_id,elev_mean,elev_min,elev_max,OBJECTID_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Leng,Shape_Le_1,Shape_Area
27,1,28,1,28,29,KBERR47,NANC-44-U,NANC-44-U,59.88481256,-151.6319101, ,2,248,248,133.2897926,102.9599991,190.0500031,28,{7C96AF70-6C2C-4AB2-B452-FAE2F96D3C85},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,24099,97.52707206,AK,1.90203E+11,Chakok River,S,NM,1.90203E+11,0,0,0.912276971,65836.62716,97527152
28,0,29,0,29,30,KBERR4,NINI,NINI,60.04838,-151.66447, ,2,0,0,0,0,0,29, , , , , ,,0,0,0, , , , , , ,0,0,0,0,0
29,0,30,0,30,31,KBERR48,NINI-545-L,NINI-545-L,60.04977699,-151.6320347, ,2,0,0,0,0,0,30, , , , , ,,0,0,0, , , , , , ,0,0,0,0,0
30,0,31,0,31,32,KBERR49,NINI-545-M,NINI-545-M,60.06274394,-151.6208301, ,2,0,0,0,0,0,31, , , , , ,,0,0,0, , , , , , ,0,0,0,0,0
31,0,32,0,32,33,KBERR50,NINI-545-U,NINI-545-U,60.0663771,-151.5866025, ,2,0,0,0,0,0,32, , , , , ,,0,0,0, , , , , , ,0,0,0,0,0
32,0,33,0,33,34,KBERR51,NINI-619-L,NINI-619-L,60.06174505,-151.3576328, ,2,0,0,0,0,0,33, , , , , ,,0,0,0, , , , , , ,0,0,0,0,0
33,0,34,0,34,35,KBERR52,NINI-619-M,NINI-619-M,60.05355602,-151.3546247, ,2,0,0,0,0,0,34, , , , , ,,0,0,0, , , , , , ,0,0,0,0,0
34,0,35,0,35,36,KBERR53,NINI-619-U,NINI-619-U,60.04883563,-151.3396357, ,2,0,0,0,0,0,35, , , , , ,,0,0,0, , , , , , ,0,0,0,0,0
35,1,36,1,36,37,KBERR13,PJ Lower,PJ Lower 2013,59.751352,-151.74683, ,2,1001,1001,83.2791779,43.52895737,103.8283463,36,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
36,1,37,1,37,38,KBERR14,PJ Mid,PJ Mid 2013,59.750653,-151.713357, ,2,1060,1060,130.6823037,97.8915863,196.8399963,37,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
37,1,38,1,38,39,KBERR3,SANC,SANC,59.7715,-151.83086, ,2,934,934,30.63916482,7.341513157,59.72710419,38,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
38,1,39,1,39,40,KBERR40,SANC-1203-L,SANC-1203-L,59.75828154,-151.5859574, ,2,665,665,209.3242283,196.6877594,227.8129578,39,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
39,1,40,1,40,41,KBERR41,SANC-1203-M,SANC-1203-M,59.77937755,-151.5659485, ,2,928,928,399.9837086,251.8200073,461.8900146,40,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
40,1,41,1,41,42,KBERR42,SANC-1203-U,SANC-1203-U,59.78078445,-151.5376959, ,2,928,928,399.9837086,251.8200073,461.8900146,41,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
